RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2861.0,15705890.0,Nebechukwu,674.0,France,Male,45.0,7.0,142072.02,1.0,1.0,0.0,37013.29,0.0
2862.0,15711398.0,Fetherstonhaugh,525.0,France,Female,25.0,6.0,0.0,2.0,1.0,0.0,89566.64,0.0
2863.0,15752375.0,Ojiofor,645.0,Germany,Male,33.0,8.0,149564.61,1.0,0.0,0.0,149913.84,0.0
2864.0,15659175.0,Severson,755.0,France,Female,43.0,9.0,0.0,2.0,1.0,0.0,18066.69,0.0
2865.0,15597033.0,Speight,708.0,Germany,Male,37.0,8.0,153366.13,1.0,1.0,1.0,26912.34,0.0
2866.0,15590228.0,Greenwalt,715.0,France,Male,21.0,6.0,76467.16,1.0,1.0,1.0,173511.72,0.0
2867.0,15631848.0,Grover,727.0,France,Female,26.0,9.0,121508.28,1.0,1.0,1.0,146785.44,0.0
2868.0,15654211.0,Milani,559.0,Spain,Female,27.0,1.0,0.0,1.0,0.0,1.0,1050.33,0.0
2869.0,15707968.0,Akobundu,545.0,Spain,Male,36.0,8.0,73211.12,2.0,1.0,0.0,89587.34,1.0
2870.0,15594084.0,Anderson,524.0,France,Male,22.0,9.0,0.0,2.0,1.0,0.0,74405.34,0.0
2871.0,15651093.0,Chien,707.0,France,Female,55.0,1.0,0.0,2.0,0.0,1.0,54409.48,0.0
,,,,,,,,,,,,,
2870.0,15594084.0,Anderson,524.0,France,Male,22.0,9.0,0.0,2.0,1.0,0.0,74405.34,0.0
