RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3565.0,15803121.0,Chia,847.0,France,Male,51.0,5.0,97565.74,1.0,0.0,0.0,144184.06,1.0
3566.0,15598700.0,Hysell,676.0,Spain,Female,30.0,5.0,0.0,2.0,0.0,1.0,157888.5,0.0
3567.0,15741875.0,Williamson,746.0,Spain,Female,25.0,3.0,104833.79,1.0,0.0,0.0,71911.3,0.0
3568.0,15631709.0,Ginikanwa,470.0,Spain,Female,31.0,2.0,101675.22,2.0,1.0,0.0,45033.75,0.0
3569.0,15672970.0,Chigolum,714.0,Spain,Male,20.0,3.0,0.0,2.0,0.0,1.0,150465.93,0.0
3570.0,15761670.0,Morley,695.0,France,Female,50.0,8.0,0.0,1.0,1.0,0.0,126381.6,1.0
3571.0,15706005.0,Roberts,674.0,France,Male,46.0,2.0,174701.05,1.0,1.0,0.0,90189.72,1.0
3572.0,15790336.0,Tokareva,664.0,Germany,Male,36.0,6.0,71142.77,2.0,1.0,0.0,122433.09,0.0
3573.0,15754267.0,Fleming,697.0,Germany,Male,31.0,3.0,108805.42,2.0,0.0,1.0,123825.83,0.0
3574.0,15791988.0,Chinomso,670.0,France,Male,68.0,4.0,0.0,2.0,1.0,1.0,11426.7,0.0
3575.0,15683375.0,Compton,541.0,France,Female,32.0,4.0,0.0,1.0,1.0,1.0,114951.42,0.0
,,,,,,,,,,,,,
3569.0,15672970.0,Chigolum,714.0,Spain,Male,20.0,3.0,0.0,2.0,0.0,1.0,150465.93,0.0
