RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6194.0,15727198.0,Teng,689.0,Germany,Female,28.0,2.0,64808.32,2.0,0.0,0.0,78591.15,0.0
6195.0,15794273.0,Hand,604.0,France,Female,56.0,0.0,62732.65,1.0,0.0,1.0,124954.56,0.0
6196.0,15804950.0,Onyemauchechukwu,514.0,France,Female,41.0,7.0,0.0,2.0,1.0,1.0,3756.65,0.0
6197.0,15576304.0,Bailey,698.0,France,Male,29.0,5.0,95167.55,1.0,1.0,1.0,152723.23,0.0
6198.0,15645200.0,Chiang,581.0,Germany,Female,54.0,2.0,152508.99,1.0,1.0,0.0,187597.98,1.0
6199.0,15779627.0,Maclean,573.0,Germany,Male,31.0,0.0,134644.19,1.0,1.0,1.0,70381.49,0.0
6200.0,15750755.0,Yobachi,449.0,Spain,Female,33.0,8.0,0.0,2.0,0.0,0.0,156792.89,0.0
6201.0,15569654.0,Munro,850.0,Germany,Female,31.0,3.0,51293.47,1.0,0.0,0.0,35534.68,0.0
6202.0,15753079.0,Chidi,612.0,France,Male,41.0,5.0,0.0,3.0,0.0,0.0,151256.22,0.0
6203.0,15684995.0,Chamberlain,690.0,Spain,Male,49.0,8.0,116622.73,1.0,0.0,1.0,51011.29,0.0
6204.0,15790763.0,Trujillo,599.0,Spain,Female,49.0,2.0,0.0,2.0,1.0,0.0,111190.53,0.0
,,,,,,,,,,,,,
6197.0,15576304.0,Bailey,698.0,France,Male,29.0,5.0,95167.55,1.0,1.0,1.0,152723.23,0.0
