RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3730.0,15697702.0,Lord,730.0,Spain,Male,29.0,2.0,0.0,2.0,1.0,0.0,14174.09,0.0
3731.0,15689152.0,Loggia,683.0,Spain,Male,38.0,3.0,126152.84,1.0,0.0,0.0,15378.75,0.0
3732.0,15568573.0,Graham,554.0,Germany,Female,51.0,7.0,105701.91,1.0,0.0,1.0,179797.79,1.0
3733.0,15689598.0,Dean,722.0,France,Male,46.0,6.0,0.0,1.0,1.0,1.0,93917.68,1.0
3734.0,15713374.0,Jarvis,689.0,Germany,Male,67.0,9.0,157094.78,1.0,1.0,1.0,99490.01,0.0
3735.0,15679733.0,Haugh,796.0,Germany,Male,40.0,2.0,113228.38,2.0,1.0,1.0,46415.09,0.0
3736.0,15759274.0,Micklem,447.0,France,Female,32.0,10.0,0.0,1.0,1.0,1.0,151815.76,0.0
3737.0,15607748.0,Bennett,498.0,Germany,Male,37.0,8.0,108432.88,2.0,1.0,1.0,14865.05,0.0
3738.0,15607577.0,Roberts,663.0,Spain,Male,27.0,8.0,0.0,1.0,1.0,1.0,188007.99,0.0
3739.0,15813697.0,Onyekaozulu,498.0,Germany,Female,44.0,2.0,120702.67,2.0,1.0,1.0,98175.74,0.0
3740.0,15801125.0,Kegley,627.0,France,Female,32.0,1.0,0.0,1.0,1.0,0.0,106851.7,0.0
,,,,,,,,,,,,,
3735.0,15679733.0,Haugh,796.0,Germany,Male,40.0,2.0,113228.38,2.0,1.0,1.0,46415.09,0.0
