RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9956.0,15611338.0,Kashiwagi,714.0,Spain,Male,29.0,4.0,0.0,2.0,1.0,1.0,37605.9,0.0
9957.0,15707861.0,Nucci,520.0,France,Female,46.0,10.0,85216.61,1.0,1.0,0.0,117369.52,1.0
9958.0,15672237.0,Oluchi,633.0,France,Male,25.0,1.0,0.0,1.0,1.0,0.0,100598.98,0.0
9959.0,15657771.0,Ts'ui,537.0,France,Male,37.0,6.0,0.0,1.0,1.0,1.0,17802.42,0.0
9960.0,15677783.0,Graham,764.0,Spain,Male,38.0,4.0,113607.47,1.0,1.0,0.0,91094.46,0.0
9961.0,15681026.0,Lucciano,795.0,Germany,Female,33.0,9.0,104552.72,1.0,1.0,1.0,120853.83,1.0
9962.0,15566543.0,Aldridge,573.0,Spain,Male,44.0,9.0,0.0,2.0,1.0,0.0,107124.17,0.0
9963.0,15594612.0,Flynn,702.0,Spain,Male,44.0,9.0,0.0,1.0,0.0,0.0,59207.41,1.0
9964.0,15814664.0,Scott,740.0,Germany,Male,33.0,2.0,126524.11,1.0,1.0,0.0,136869.31,0.0
9965.0,15642785.0,Douglas,479.0,France,Male,34.0,5.0,117593.48,2.0,0.0,0.0,113308.29,0.0
9966.0,15690164.0,Shao,627.0,Germany,Female,33.0,4.0,83199.05,1.0,0.0,0.0,159334.93,0.0
,,,,,,,,,,,,,
9965.0,15642785.0,Douglas,479.0,France,Male,34.0,5.0,117593.48,2.0,0.0,0.0,113308.29,0.0
