RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7162.0,15775235.0,Ku,690.0,France,Female,36.0,6.0,110480.48,1.0,0.0,0.0,81292.33,0.0
7163.0,15780088.0,Porter,607.0,Spain,Male,34.0,9.0,132439.99,1.0,1.0,0.0,177747.72,0.0
7164.0,15649379.0,Somayina,850.0,France,Female,46.0,3.0,0.0,2.0,1.0,1.0,187980.21,0.0
7165.0,15713983.0,Mao,780.0,Germany,Male,34.0,5.0,94108.54,2.0,1.0,0.0,177235.21,0.0
7166.0,15709252.0,Fuller,616.0,Germany,Female,28.0,10.0,105173.99,1.0,0.0,1.0,29835.37,1.0
7167.0,15699238.0,Craig,618.0,Spain,Female,40.0,8.0,0.0,2.0,1.0,0.0,80204.38,0.0
7168.0,15732884.0,Trevisano,676.0,France,Male,29.0,7.0,131959.86,1.0,0.0,0.0,189268.81,0.0
7169.0,15587297.0,Ruiz,507.0,France,Male,33.0,7.0,0.0,2.0,1.0,1.0,85411.01,0.0
7170.0,15684722.0,Fraser,490.0,France,Male,34.0,5.0,122952.9,2.0,0.0,0.0,154360.97,0.0
7171.0,15621244.0,Gallo,678.0,France,Male,36.0,0.0,107379.68,1.0,1.0,1.0,84460.18,0.0
7172.0,15744273.0,Waterhouse,637.0,Germany,Male,30.0,6.0,122641.56,2.0,1.0,0.0,65618.01,0.0
,,,,,,,,,,,,,
7166.0,15709252.0,Fuller,616.0,Germany,Female,28.0,10.0,105173.99,1.0,0.0,1.0,29835.37,1.0
