RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8845.0,15790717.0,Osinachi,695.0,Spain,Male,35.0,7.0,0.0,2.0,1.0,0.0,160387.98,0.0
8846.0,15635703.0,Chu,729.0,Germany,Female,39.0,1.0,131513.26,1.0,1.0,1.0,193715.0,0.0
8847.0,15616365.0,Obiuto,571.0,France,Female,53.0,2.0,0.0,2.0,1.0,0.0,28045.77,0.0
8848.0,15630244.0,Chu,457.0,France,Male,40.0,10.0,134320.23,2.0,1.0,0.0,150757.35,0.0
8849.0,15734714.0,Nash,559.0,France,Female,29.0,3.0,79715.36,1.0,1.0,0.0,82252.28,0.0
8850.0,15721433.0,Hixson,664.0,France,Female,38.0,4.0,74306.19,2.0,1.0,0.0,154395.56,0.0
8851.0,15590201.0,Fiorentini,500.0,Spain,Female,50.0,5.0,0.0,4.0,1.0,1.0,83866.35,1.0
8852.0,15590828.0,Chidimma,782.0,Germany,Male,42.0,7.0,126428.38,1.0,1.0,0.0,39830.1,0.0
8853.0,15752097.0,Chiazagomekpere,708.0,Spain,Male,38.0,8.0,99640.89,1.0,1.0,0.0,12429.22,0.0
8854.0,15800031.0,Laura,681.0,France,Male,43.0,3.0,66338.68,1.0,1.0,1.0,18772.5,1.0
8855.0,15630857.0,Wu,674.0,Spain,Female,39.0,6.0,0.0,2.0,1.0,1.0,9574.83,0.0
,,,,,,,,,,,,,
8855.0,15630857.0,Wu,674.0,Spain,Female,39.0,6.0,0.0,2.0,1.0,1.0,9574.83,0.0
