RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5864.0,15778515.0,Wu,748.0,France,Male,40.0,3.0,95297.11,1.0,0.0,0.0,171515.84,0.0
5865.0,15803840.0,Forbes,729.0,France,Female,32.0,9.0,0.0,2.0,0.0,0.0,150803.44,0.0
5866.0,15735339.0,Lynch,663.0,France,Male,39.0,4.0,0.0,1.0,1.0,0.0,76884.05,0.0
5867.0,15600392.0,Amaechi,735.0,France,Female,53.0,8.0,123845.36,2.0,0.0,1.0,170454.93,1.0
5868.0,15625740.0,Enriquez,627.0,Germany,Male,62.0,3.0,143426.34,2.0,1.0,1.0,143104.3,0.0
5869.0,15663817.0,Y?an,713.0,France,Male,46.0,5.0,0.0,1.0,1.0,1.0,55701.62,0.0
5870.0,15734461.0,Brooks,562.0,Germany,Male,31.0,2.0,112708.2,1.0,0.0,1.0,186370.3,0.0
5871.0,15780142.0,Wang,632.0,France,Male,43.0,2.0,100013.51,1.0,1.0,0.0,24275.32,0.0
5872.0,15709920.0,Burke,479.0,France,Female,33.0,2.0,208165.53,1.0,0.0,0.0,50774.81,1.0
5873.0,15684248.0,Meng,658.0,Spain,Male,21.0,7.0,0.0,2.0,0.0,1.0,154279.87,0.0
5874.0,15643158.0,Chiganu,598.0,France,Female,40.0,9.0,0.0,1.0,1.0,0.0,68462.59,1.0
,,,,,,,,,,,,,
5866.0,15735339.0,Lynch,663.0,France,Male,39.0,4.0,0.0,1.0,1.0,0.0,76884.05,0.0
