RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7569.0,15809909.0,Fan,422.0,Spain,Female,54.0,4.0,0.0,2.0,1.0,1.0,7166.71,0.0
7570.0,15642448.0,Onyemauchechukwu,656.0,Spain,Male,28.0,8.0,120047.77,1.0,1.0,1.0,137173.39,0.0
7571.0,15791944.0,Harker,697.0,France,Male,32.0,7.0,175464.85,3.0,1.0,0.0,116442.42,1.0
7572.0,15768342.0,Bolton,718.0,France,Male,52.0,8.0,79475.3,3.0,1.0,1.0,32421.32,1.0
7573.0,15567919.0,Lazarev,586.0,Germany,Male,37.0,8.0,167735.69,2.0,0.0,1.0,104665.79,0.0
7574.0,15674750.0,Alexeyeva,481.0,Spain,Female,37.0,8.0,0.0,2.0,1.0,0.0,44215.86,0.0
7575.0,15778345.0,Stevens,749.0,France,Female,33.0,1.0,74385.98,1.0,1.0,0.0,20164.47,0.0
7576.0,15687634.0,Glover,561.0,Germany,Male,49.0,5.0,94754.0,1.0,1.0,1.0,26691.31,0.0
7577.0,15666096.0,Ibekwe,676.0,Spain,Male,27.0,4.0,0.0,1.0,0.0,1.0,107955.67,0.0
7578.0,15581700.0,Paterson,615.0,Germany,Male,43.0,3.0,86920.86,1.0,1.0,1.0,150048.37,0.0
7579.0,15656417.0,Marsh,582.0,France,Female,39.0,1.0,132077.48,2.0,1.0,0.0,192255.15,0.0
7573.0,15567919.0,Lazarev,586.0,Germany,Male,37.0,8.0,167735.69,2.0,0.0,1.0,104665.79,0.0
