RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9560.0,15761706.0,Y?an,705.0,Spain,Female,39.0,8.0,144102.32,1.0,1.0,1.0,11682.36,0.0
9561.0,15658409.0,Mao,686.0,France,Male,41.0,5.0,128876.71,3.0,1.0,1.0,106939.34,1.0
9562.0,15810010.0,Dahlenburg,678.0,Germany,Male,36.0,6.0,118448.15,2.0,1.0,0.0,53172.02,0.0
9563.0,15627027.0,Shih,738.0,France,Male,39.0,5.0,0.0,2.0,1.0,1.0,114388.98,0.0
9564.0,15624374.0,Maclean,703.0,France,Male,28.0,9.0,0.0,2.0,0.0,1.0,2151.17,0.0
9565.0,15720083.0,Fiorentino,554.0,Spain,Male,42.0,1.0,0.0,2.0,0.0,1.0,183492.9,0.0
9566.0,15752294.0,Long,582.0,France,Female,38.0,9.0,135979.01,4.0,1.0,1.0,76582.95,1.0
9567.0,15743193.0,Olson,644.0,France,Male,37.0,6.0,117271.8,2.0,1.0,0.0,104217.96,1.0
9568.0,15696733.0,McKenzie,724.0,France,Male,29.0,4.0,0.0,1.0,1.0,0.0,8982.75,0.0
9569.0,15677522.0,Rossi,593.0,France,Male,33.0,1.0,0.0,2.0,0.0,0.0,9984.4,0.0
9570.0,15643523.0,Power,710.0,Spain,Female,30.0,10.0,0.0,2.0,1.0,0.0,19500.1,0.0
9566.0,15752294.0,Long,582.0,France,Female,38.0,9.0,135979.01,4.0,1.0,1.0,76582.95,1.0
